#,category_id,name,name_si,name_ta,sku,description,short_description,price,cost,package,availability,image,status,is_featured,is_new,is_sale,slug,is_deal,old_price
19,404,Cabbage 250g,Cabbage 250g,Cabbage 250g,Cabbage,NULL,NULL,41.25,32.5,19,1,/products-images/c/a/cabbage.jpg,1,0,0,0,cabbage.html,0,0
20,407,Cauliflower 250g,Cauliflower 250g,Cauliflower 250g,Cauliflower,NULL,NULL,120,107.5,20,1,/products-images/c/a/cauliflower.jpg,1,0,0,0,cauliflower.html,0,0
21,406,Cooking mango 250g,Cooking mango 250g,Cooking mango 250g,Cooking mango,NULL,NULL,41.25,32.5,21,1,/products-images/c/o/cooking_mango.jpg,1,0,0,0,cooking-mango.html,0,0
22,405,Cucumber green 250g,Cucumber green 250g,Cucumber green 250g,Cucumber green,NULL,NULL,35,25,22,1,/products-images/g/r/green_cucumber.jpg,1,0,0,0,cucumber-green.html,0,0
23,405,Cucumber white 250g,Cucumber white 250g,Cucumber white 250g,Cucumber white,NULL,NULL,30,22.5,23,1,/products-images/c/u/cucumber.png,1,0,0,0,cucumber-white.html,0,0
24,405,Dambala (winged beans) 250g,Dambala (winged beans) 250g,Dambala (winged beans) 250g,Dambala (winged beans),NULL,NULL,60,45,24,1,/products-images/d/a/dambala.jpg,1,0,0,0,dambala-winged-beans.html,0,0
25,405,Drumstick 250g,Drumstick 250g,Drumstick 250g,Drumstick,NULL,NULL,92.5,67.5,25,1,/products-images/d/r/drumstick.jpg,1,0,0,0,drumstick.html,0,0
26,406,Garlic 50g,Garlic 50g,Garlic 50g,Garlic 50g,NULL,NULL,20,16,26,1,/products-images/g/a/garlic.jpg,1,0,0,0,garlic-50g.html,0,0
27,406,Ginger 50g,Ginger 50g,Ginger 50g,Ginger 50g,NULL,NULL,60,45,27,1,/products-images/g/i/ginger.jpg,1,0,0,0,ginger-50g.html,0,0
28,405,Green chillie 100g,Green chillie 100g,Green chillie 100g,Green chillie,NULL,NULL,48,38,28,1,/products-images/g/r/green_chili.jpg,1,0,0,0,green-chillie.html,0,0
29,406,Kekiri 250g,Kekiri 250g,Kekiri 250g,Kekiri,NULL,NULL,31.25,25,29,1,/products-images/k/e/kekiri.jpg,1,0,0,0,kekiri.html,0,0
30,404,Knol khol 250g,Knol khol 250g,Knol khol 250g,Knol khol,NULL,NULL,43.75,35,30,1,/products-images/k/n/knol_khol.jpg,1,0,0,0,knol-khol.html,0,0
31,406,Kohila roots 250g,Kohila roots 250g,Kohila roots 250g,Kohila roots,NULL,NULL,43.75,35,31,1,/products-images/k/o/kohila_roots1.jpg,1,0,0,0,kohila-stem.html,0,0
32,406,Labu (Bottle gourd) 250g,Labu (Bottle gourd) 250g,Labu (Bottle gourd) 250g,Labu (Bottle gourd),NULL,NULL,31.25,25,32,1,/products-images/b/o/bottle_gourd.jpg,1,0,0,0,bottle-gourd.html,0,0
33,405,Ladies finger 250g,Ladies finger 250g,Ladies finger 250g,Ladies finger,NULL,NULL,40,30,33,1,/products-images/l/a/ladies_fingers.jpg,1,0,0,0,ladies-finger.html,0,0
34,404,Leeks 250g,Leeks 250g,Leeks 250g,Leeks,NULL,NULL,40,30,34,1,/products-images/l/e/leeks.png,1,0,0,0,leeks.html,0,0
35,405,Lime 50g,Lime 50g,Lime 50g,Lime,NULL,NULL,12.5,8.5,35,1,/products-images/l/i/lime.jpg,1,0,0,0,lime.html,0,0
36,405,Long beans 250g,Long beans 250g,Long beans 250g,Long beans,NULL,NULL,50,42.5,36,1,/products-images/l/o/long_beans.jpg,1,0,0,0,long-beans.html,0,0
37,405,Malumiris (Capsicum) 250g,Malumiris (Capsicum) 250g,Malumiris (Capsicum) 250g,Malumiris (Capsicum),NULL,NULL,81.25,65,37,1,/products-images/c/a/capsicum.jpg,1,0,0,0,capsicum.html,0,0
38,405,Manioc 250g,Manioc 250g,Manioc 250g,Manioc,NULL,NULL,31.25,25,38,1,/products-images/m/a/manioc.jpg,1,0,0,0,manioc.html,0,0
39,406,Nelum Ala (lotus root) 250g,Nelum Ala (lotus root) 250g,Nelum Ala (lotus root) 250g,Nelum Ala (lotus root),NULL,NULL,62.5,50,39,1,/products-images/l/o/lotus_root.jpg,1,0,0,0,nelum-ala-lotus-root.html,0,0
40,406,Plantain flower 350g,Plantain flower 350g,Plantain flower 350g,Plantain flower,NULL,NULL,43.85964912,35.0877193,40,1,/products-images/p/l/plantain_flower.png,1,0,0,0,plantain-flower.html,0,0
41,404,Potato 250g,Potato 250g,Potato 250g,Potato 250g,NULL,NULL,56.25,45,41,1,/products-images/p/o/potatoes.jpg,1,1,0,0,potato-250g.html,0,0
42,406,Puhul (Ash gourd) 250g,Puhul (Ash gourd) 250g,Puhul (Ash gourd) 250g,Puhul (Ash gourd),NULL,NULL,31.25,25,42,1,/products-images/a/s/ash-gourd_1.jpg,1,0,0,0,ash-gourd-white-pumpkin.html,0,0
43,405,Pumpkin 250g,Pumpkin 250g,Pumpkin 250g,Pumpkin,NULL,NULL,50,40,43,1,/products-images/p/u/pumpkin.jpg,1,1,0,0,pumpkin.html,0,0
44,404,Radish 250g,Radish 250g,Radish 250g,Radish,NULL,NULL,40,32.5,44,1,/products-images/r/a/radish.jpg,1,0,0,0,radish.html,0,0
45,406,Red Onion 250g,Red Onion 250g,Red Onion 250g,Red Onion 250g,NULL,NULL,75,60,45,1,/products-images/r/e/red_onion.jpg,1,0,0,0,red-onion-250g.html,0,0
46,406,Round brinjal 250g,Round brinjal 250g,Round brinjal 250g,Round brinjal,NULL,NULL,35,25,46,1,/products-images/r/o/round_brinjal.jpg,1,0,0,0,round-brinjal.html,0,0
47,405,Snake gourd 250g,Snake gourd 250g,Snake gourd 250g,Snake gourd,NULL,NULL,50,40,47,1,/products-images/s/n/snake_gourd.jpg,1,0,0,0,snake-gourd.html,0,0
48,408,Spring onions 250g,Spring onions 250g,Spring onions 250g,Spring onions,NULL,NULL,60,45,48,1,/products-images/s/p/spring_onion.jpeg,1,0,0,0,spring-onions.html,0,0
49,406,Thalana battu 250g,Thalana battu 250g,Thalana battu 250g,Thalana battu,NULL,NULL,41.25,32.5,49,1,/products-images/t/h/thalana_battu.jpg,1,0,0,0,thalana-battu.html,0,0
50,405,Thibbattu 250g,Thibbattu 250g,Thibbattu 250g,Thibbattu,NULL,NULL,125,100,50,1,/products-images/t/h/thibbattu.jpg,1,0,0,0,thibbattu.html,0,0
51,406,Thumba karavila (spiny gourd) 250g,Thumba karavila (spiny gourd) 250g,Thumba karavila (spiny gourd) 250g,Thumba karavila (spiny gourd),NULL,NULL,125,100,51,1,/products-images/s/p/spiny_gourd.png,1,0,0,0,thumba-karavila-spiny-gourd.html,0,0
52,405,Watakolu (ribbed gourd) 350g,Watakolu (ribbed gourd) 350g,Watakolu (ribbed gourd) 350g,Watakolu (ribbed gourd/Luffa),NULL,NULL,84.21052632,63.15789474,52,1,/products-images/r/i/ribbed_gourd.png,1,0,0,0,watakolu-ribbed-gourd.html,0,0
53,404,Tomato 250g,Tomato 250g,Tomato 250g,Tomato,NULL,NULL,37.75,45,53,1,/products-images/t/o/tomato.png,1,0,0,0,tomato.html,1,50
54,407,Green pepper 100g,Green pepper 100g,Green pepper 100g,Green pepper 100g,NULL,NULL,60,45,54,1,/products-images/d/o/download.jpg,1,0,0,0,green-pepper-100g.html,0,0
55,407,Red pepper 100g,Red pepper 100g,Red pepper 100g,Red pepper 100g,NULL,NULL,94,75,55,1,/products-images/4/2/4242334-pepper.jpg,1,0,0,0,red-pepper-100g.html,0,0
56,407,Long Radish 250g,Long Radish 250g,Long Radish 250g,Long Radish 250g,NULL,NULL,41.25,32.5,56,1,/products-images/l/o/long_radish_250g.jpg,1,0,0,0,long-radish-250g.html,0,0
57,406,Polos 250g,Polos 250g,Polos 250g,Polos 250g,NULL,NULL,28,28,57,1,/products-images/p/o/polos.jpg,1,0,0,0,polos-250g.html,0,0
58,406,Paskulu Tamarind 100g,Paskulu Tamarind 100g,Paskulu Tamarind 100g,Paskulu Tamarind 100g,NULL,NULL,75,71.25,58,1,/products-images/new-images/paskulu_tamarind.jpg,1,0,0,0,Tamarind-100g.html,0,0
59,407,Broccoli 100g,Broccoli 100g,Broccoli 100g,Broccoli 100g,NULL,NULL,140,140,59,1,/products-images/new-images/broccoli_100g.jpg,1,0,0,0,Broccoli 100g.html,0,0
60,406,chow chow 500g,chow chow 500g,chow chow 500g,chow chow 500g,NULL,NULL,50,50,60,1,/products-images/new-images/chow_chow.jpg,1,0,0,0,chow chow 500g.html,0,0
61,407,Gerkin 100g,Gerkin 100g,Gerkin 100g,Gerkin 100g,NULL,NULL,67,67,61,0,/products-images/new-images/gherkin.jpg,1,0,0,0,Gerkin 100g.html,0,0
62,406,Karuna kilangu 250g,Karuna kilangu 250g,Karuna kilangu 250g,Karuna kilangu 250g,NULL,NULL,40,40,62,0,/products-images/new-images/karunai_kilangu.jpg,1,0,0,0,Karuna kilangu 250g.html,0,0
63,407,Yellow pepper 100g,Yellow pepper 100g,Yellow pepper 100g,Yellow pepper 100g,NULL,NULL,58,58,63,1,/products-images/new-images/yellow_pepper.jpg,1,0,0,0,Yellow pepper 100g.html,0,0
64,407,Zucchini 100g,Zucchini 100g,Zucchini 100g,Zucchini 100g,NULL,NULL,99,99,64,1,/products-images/new-images/zucchini.jpg,1,0,0,0,Zucchini 100g.html,0,0
65,407,Iceberg Lettuce 500g,Iceberg Lettuce 500g,Iceberg Lettuce 500g,Iceberg Lettuce 500g,NULL,NULL,475,475,65,1,/products-images/new-images/iceberg_lettuce.jpg,1,0,0,0,Iceberg Lettuce 500g.html,0,0
66,98,Ambul banana 500g,Ambul banana 500g,Ambul banana 500g,Ambul banana,NULL,NULL,65,55,66,1,/products-images/a/m/ambul.jpg,1,0,0,0,ambul-banana.html,0,0
67,98,Green apple,Green apple,Green apple,Green apple,NULL,NULL,70,60,67,1,/products-images/g/r/green_apple.jpg,1,0,0,0,green-apple.html,0,0
68,98,Green grapes 100g,Green grapes 100g,Green grapes 100g,Green grapes,NULL,NULL,90,84,68,1,/products-images/g/r/green-grapes.jpg,1,0,0,0,green-grapes.html,0,0
69,98,Guava,Guava,Guava,Guava,NULL,NULL,90,80,69,1,/products-images/g/u/guava.jpg,1,0,0,0,guava.html,0,0
70,98,King coconut,King coconut,King coconut,King coconut,NULL,NULL,95,75,70,1,/products-images/k/i/king_coconut.jpg,1,0,0,0,king-coconut.html,0,0
71,98,Kolikuttu banana 500g,Kolikuttu banana 500g,Kolikuttu banana 500g,Kolikuttu banana,NULL,NULL,120,100,71,1,/products-images/k/o/kolikuttu_2.jpg,1,0,0,0,kolikuttu-banana.html,0,0
72,98,Mandarin,Mandarin,Mandarin,Mandarin,NULL,NULL,60,50,72,1,/products-images/m/a/mandarin.jpg,1,0,0,0,mandarin.html,0,0
73,98,Mango,Mango,Mango,Mango,NULL,NULL,70,60,73,1,/products-images/m/a/mango.jpg,1,0,0,0,mango.html,0,0
74,98,Karuthacolambe mango,Karuthacolambe mango,Karuthacolambe mango,Karuthacolambe mango,NULL,NULL,150,140,74,1,/products-images/new-images/unknown.png,1,0,0,0,Karuthacolambe-mango.html,0,0
75,98,Nelli 100g,Nelli 100g,Nelli 100g,Nelli,NULL,NULL,80,70,75,1,/products-images/n/e/nelli.jpg,1,0,0,0,nelli.html,0,0
76,98,Narang,Narang,Narang,Narang,NULL,NULL,40,30,76,1,/products-images/new-images/narang.jpg,1,0,0,0,Narang.html,0,0
77,98,Orange,Orange,Orange,Orange,NULL,NULL,70,60,77,1,/products-images/o/r/oranges.jpg,1,0,0,0,orange.html,0,0
78,98,Green Orange,Green Orange,Green Orange,Green Orange,NULL,NULL,70,60,78,1,/products-images/new-images/green_orange.jpg,1,0,0,0,Green-Orange.html,0,0
79,98,Papaya,Papaya,Papaya,Papaya,NULL,NULL,120,100,79,1,/products-images/p/a/papaya.jpg,1,0,0,0,papaya.html,0,0
80,98,Passion fruit,Passion fruit,Passion fruit,Passion fruit,NULL,NULL,35,30,80,1,/products-images/p/a/passion_fruit.jpg,1,0,0,0,passion-fruit.html,0,0
81,98,Pineapple,Pineapple,Pineapple,Pineapple,NULL,NULL,380,350,81,1,/products-images/p/i/pineapple.jpg,1,0,0,0,pineapple.html,0,0
82,98,Purple grapes 100g,Purple grapes 100g,Purple grapes 100g,Purple grapes,NULL,NULL,70,60,82,1,/products-images/p/u/purple_grapes.jpg,1,0,0,0,purple-grapes.html,0,0
83,98,Red apple,Red apple,Red apple,Red apple,NULL,NULL,80,70,83,1,/products-images/new-images/red_apple.jpg,1,0,0,0,red-apple.html,0,0
84,98,Pink apple,Pink apple,Pink apple,Pink apple,NULL,NULL,40,30,84,1,/products-images/r/e/red_apple.jpg,1,0,0,0,Pink-apple.html,0,0
85,98,Seeni banana 500g,Seeni banana 500g,Seeni banana 500g,Seeni banana,NULL,NULL,65,60,85,1,/products-images/s/e/seeni_banana.jpg,1,0,0,0,seeni-banana.html,0,0
86,98,Star fruit,Star fruit,Star fruit,Star fruit,NULL,NULL,65,50,86,1,/products-images/s/t/star_fruit.jpg,1,0,0,0,star-fruit.html,0,0
87,98,Veralu 100g,Veralu 100g,Veralu 100g,Veralu,NULL,NULL,60,50,87,1,/products-images/v/e/veralu.jpg,1,0,0,0,veralu.html,0,0
88,98,Watermelon,Watermelon,Watermelon,Watermelon,NULL,NULL,120,100,88,1,/products-images/w/a/watermelon.jpg,1,0,0,0,watermelon.html,0,0
89,98,Woodapple,Woodapple,Woodapple,Woodapple,NULL,NULL,80,60,89,1,/products-images/w/o/wood_apple.jpg,1,0,0,0,woodapple.html,0,0
90,98,Jagro Strawberry 250g,Jagro Strawberry 250g,Jagro Strawberry 250g,Jagro Strawberry 250g,NULL,NULL,550,550,90,1,/products-images/j/a/jagro_strawberrie_250g.jpg,1,0,0,0,jagro-strawberry-250g.html,0,0
91,98,Avocado,Avocado,Avocado,Avocado,NULL,NULL,80,70,91,1,/products-images/a/v/avocado.jpeg,1,0,0,0,avocado.html,0,0
92,98,Katu anotha (sugar apple),Katu anotha (sugar apple),Katu anotha (sugar apple),Katu anotha (sugar apple),NULL,NULL,300,250,92,1,/products-images/k/a/katuanoda.jpg,1,0,0,0,katu-anotha-sugar-apple.html,0,0
93,98,Pears,Pears,Pears,Pears,NULL,NULL,200,150,93,1,/products-images/p/e/pears_.jpg,1,0,0,0,pears.html,0,0
94,98,Pomagranate,Pomagranate,Pomagranate,Pomagranate,NULL,NULL,350,300,94,1,/products-images/p/o/pomegranates.jpg,1,0,0,0,pomagranate.html,0,0
95,408,Aguna leaves,Aguna leaves,Aguna leaves,Aguna leaves,NULL,NULL,45,40,95,1,/products-images/a/g/aguna_leaves.jpg,1,0,0,0,aguna-leaves.html,0,0
96,407,Cellery 50g,Cellery 50g,Cellery 50g,Cellery,NULL,NULL,45,35,96,1,/products-images/c/e/celery1.jpg,1,0,0,0,cellery.html,0,0
97,408,Haata variya,Haata variya,Haata variya,Haata variya,NULL,NULL,45,40,97,1,/products-images/h/a/haata.jpg,1,0,0,0,haata-variya.html,0,0
98,408,Kathuru murunga,Kathuru murunga,Kathuru murunga,Kathuru murunga,NULL,NULL,45,40,98,1,/products-images/k/a/kathuru_murunga_1.jpg,1,0,0,0,kathuru-murunga.html,0,0
99,408,Kohila leaves,Kohila leaves,Kohila leaves,Kohila leaves,NULL,NULL,55,50,99,1,/products-images/k/o/kohila_leaves.jpg,1,0,0,0,kohila-leaves.html,0,0
100,408,Murunga leaves,Murunga leaves,Murunga leaves,Murunga leaves,NULL,NULL,45,40,100,1,/products-images/m/u/murunga_leaves3.png,1,0,0,0,murunga-leaves.html,0,0
101,408,Sarana,Sarana,Sarana,Sarana,NULL,NULL,60,55,101,1,/products-images/s/a/sarana_leaves.jpg,1,0,0,0,sarana.html,0,0
102,408,Thampala,Thampala,Thampala,Thampala,NULL,NULL,58,53,102,1,/products-images/new-images/thampala.jpg,1,0,0,0,thampala.html,0,0
103,408,Ara keera,Ara keera,Ara keera,Ara keera,NULL,NULL,45,40,103,1,/products-images/new-images/arai_keerai.jpg,1,0,0,0,Ara keera.html,0,0
104,407,parshley 100g,parshley 100g,parshley 100g,parshley 100g,NULL,NULL,60,55,104,1,/products-images/new-images/parsley.jpg,1,0,0,0,parshley 100g.html,0,0
105,408,Thebu leaves,Thebu leaves,Thebu leaves,Thebu leaves,NULL,NULL,45,40,105,1,/products-images/new-images/thebu_leaves.jpg,1,0,0,0,Thebu leaves.html,0,0
106,408,beetle leaves 10s,beetle leaves 10s,beetle leaves 10s,beetle leaves 10s,NULL,NULL,25,25,106,1,/products-images/new-images/beetle_leaves.jpg,1,0,0,0,beetle leaves 10s.html,0,0
107,408,Cabbage leaves 250g,Cabbage leaves 250g,Cabbage leaves 250g,Cabbage leaves,NULL,NULL,40,30,107,1,/products-images/c/a/cabbage_leaves.jpg,1,0,0,0,cabbage-leaves.html,0,0
108,408,Curry leaves,Curry leaves,Curry leaves,Curry leaves,NULL,NULL,20,18,108,1,/products-images/c/u/curry_leaves1.jpg,1,0,0,0,curry-leaves.html,0,0
109,408,Gotu kola,Gotu kola,Gotu kola,Gotu kola,NULL,NULL,20,15,109,1,/products-images/g/o/gotukola.jpg,1,0,0,0,gotu-kola.html,0,0
110,408,Kankun,Kankun,Kankun,Kankun,NULL,NULL,40,35,110,1,/products-images/k/a/kankun.jpg,1,0,0,0,kankun.html,0,0
111,408,Kothamalli (coriander leaves) 50g,Kothamalli (coriander leaves) 50g,Kothamalli (coriander leaves) 50g,Kothamalli (coriander leaves),NULL,NULL,50,35,111,1,/products-images/c/o/coriander_leaves.jpg,1,0,0,0,kothamalli-coriander-leaves.html,0,0
112,407,Mint leaves 50g,Mint leaves 50g,Mint leaves 50g,Mint leaves,NULL,NULL,31.25,25,112,1,/products-images/m/i/mint_leaves1.jpg,1,0,0,0,mint-leaves.html,0,0
113,408,Mukunuwenna ,Mukunuwenna ,Mukunuwenna ,Mukunuwenna ,NULL,NULL,40,35,113,1,/products-images/m/u/mukununwenna.jpg,1,0,0,0,mukunuwenna.html,0,0
114,408,Nivithi (spinach) 250g,Nivithi (spinach) 250g,Nivithi (spinach) 250g,Nivithi (spinach),NULL,NULL,125,100,114,1,/products-images/s/p/spinach1.jpg,1,0,0,0,nivithi.html,0,0
115,408,Salad leaves 100g,Salad leaves 100g,Salad leaves 100g,Salad leaves,NULL,NULL,60,40,115,1,/products-images/s/a/salas_leaves1_1.jpg,1,0,0,0,salad-leaves.html,0,0
116,100,Coconut,Coconut,Coconut,Coconut,NULL,NULL,85,75,116,1,/products-images/c/o/coconut.jpg,1,0,0,0,coconut.html,0,0
117,100,Scraped coconut,Scraped coconut,Scraped coconut,Scraped coconut,NULL,NULL,90,80,117,1,/products-images/c/o/coconut_scrapped.jpg,1,0,0,0,scrapped-coconut.html,0,0
118,101,Org. Plantain flower 500g,Org. Plantain flower 500g,Org. Plantain flower 500g,Org. Plantain flower,NULL,NULL,130.5,113,118,1,/products-images/o/r/org._plantain_flower_1.jpg,1,0,0,0,org-plantain-flower-1.html,0,0
119,101,Org. Ambarella 250g,Org. Ambarella 250g,Org. Ambarella 250g,Org. Ambarella,NULL,NULL,81.25,73,119,1,/products-images/o/r/org._ambarella_1.jpg,1,0,0,0,org-ambarella.html,0,0
120,101,Org. Ash plantain 250g,Org. Ash plantain 250g,Org. Ash plantain 250g,Org. Ash plantain,NULL,NULL,86.25,91,120,1,/products-images/o/r/org.ashplantain.jpg,1,0,0,0,org-ash-plantain.html,0,0
121,101,Org. Beetroot 250g,Org. Beetroot 250g,Org. Beetroot 250g,Org. Beetroot,NULL,NULL,119.75,65,121,1,/products-images/o/r/org.beetroot.jpg,1,0,0,0,org-beetroot.html,0,0
122,101,Org. Bitter gourd 250g,Org. Bitter gourd 250g,Org. Bitter gourd 250g,Org. Bitter gourd,NULL,NULL,136.75,130,122,1,/products-images/o/r/org.bittergourdgreen.jpg,1,0,0,0,org-bitter-gourd.html,0,0
123,101,Org. Brinjal 250g,Org. Brinjal 250g,Org. Brinjal 250g,Org. Brinjal,NULL,NULL,137,57,123,1,/products-images/o/r/org.brinjal.jpg,1,0,0,0,org-brinjal.html,0,0
124,101,Org. Cabbage 250g,Org. Cabbage 250g,Org. Cabbage 250g,Org. Cabbage,NULL,NULL,129.5,89,124,1,/products-images/o/r/org.cabbage.jpg,1,0,0,0,org-cabbage.html,0,0
125,101,Org. Capsicum 250g,Org. Capsicum 250g,Org. Capsicum 250g,Org. Capsicum,NULL,NULL,156,130,125,1,/products-images/o/r/org.capsicum.jpg,1,0,0,0,org-capsicum.html,0,0
126,101,Org. Carrot 250g,Org. Carrot 250g,Org. Carrot 250g,Org. Carrot,NULL,NULL,132.75,114,126,1,/products-images/o/r/org.carrot.jpg,1,0,0,0,org-carrot.html,0,0
127,101,Org. Cucumber 500g,Org. Cucumber 500g,Org. Cucumber 500g,Org. Cucumber,NULL,NULL,143,130,127,1,/products-images/o/r/org.cucumber.jpg,1,0,0,0,org-cucumber.html,0,0
128,101,Org. Dambala 250g,Org. Dambala 250g,Org. Dambala 250g,Org. Dambala,NULL,NULL,147,65,128,1,/products-images/o/r/org.dambala.jpg,1,0,0,0,org-dambala.html,0,0
129,101,Org. Green beans 250g,Org. Green beans 250g,Org. Green beans 250g,Org. Green beans,NULL,NULL,109.5,146,129,1,/products-images/o/r/org.greenbean.jpg,1,0,0,0,org-green-beans.html,0,0
130,101,Org. Green chili 100g,Org. Green chili 100g,Org. Green chili 100g,Org. Green chili,NULL,NULL,118.2,52,130,1,/products-images/o/r/org.greenchili.jpg,1,0,0,0,org-green-chili.html,0,0
131,101,Org. Knol khol 250g,Org. Knol khol 250g,Org. Knol khol 250g,Org. Knol khol,NULL,NULL,90.5,65,131,0,/products-images/o/r/org.knolkhol.jpg,1,0,0,0,org-knol-khol.html,0,0
132,101,Org. Ladies fingers 250g,Org. Ladies fingers 250g,Org. Ladies fingers 250g,Org. Ladies fingers,NULL,NULL,104,63,132,1,/products-images/o/r/org.ladiesfingers.jpg,1,0,0,0,org-ladies-fingers.html,0,0
133,101,Org. Leeks 250g,Org. Leeks 250g,Org. Leeks 250g,Org. Leeks,NULL,NULL,89.75,81,133,1,/products-images/o/r/org.leeks.jpg,1,0,0,0,org-leeks.html,0,0
134,101,Org. Lime 100g,Org. Lime 100g,Org. Lime 100g,Org. Lime,NULL,NULL,42.5,91,134,1,/products-images/o/r/org.lime.jpg,1,0,0,0,org-lime.html,0,0
135,101,Org. Long beans 250g,Org. Long beans 250g,Org. Long beans 250g,Org. Long beans,NULL,NULL,123.75,65,135,1,/products-images/o/r/org.longbeans.jpg,1,0,0,0,org-long-beans.html,0,0
136,101,Org. Pumpkin 250g,Org. Pumpkin 250g,Org. Pumpkin 250g,Org. Pumpkin,NULL,NULL,97.5,49,136,1,/products-images/o/r/org.pumpkin.jpg,1,0,0,0,org-pumpkin.html,0,0
137,101,Org. Radish 250g,Org. Radish 250g,Org. Radish 250g,Org. Radish,NULL,NULL,84.75,62,137,1,/products-images/o/r/org.radish.jpg,1,0,0,0,org-radish.html,0,0
138,101,Org. Ribbed gourd 250g,Org. Ribbed gourd 250g,Org. Ribbed gourd 250g,Org. Ribbed gourd,NULL,NULL,120.25,98,138,1,/products-images/o/r/org.ribbedgourd.jpg,1,0,0,0,org-ribbed-gourd.html,0,0
139,101,Org. Snake gourd 250g,Org. Snake gourd 250g,Org. Snake gourd 250g,Org. Snake gourd,NULL,NULL,118.5,73,139,1,/products-images/o/r/org.snakegourd.jpg,1,0,0,0,org-snake-gourd.html,0,0
140,101,Org. Sweet potato 250g,Org. Sweet potato 250g,Org. Sweet potato 250g,Org. Sweet potato,NULL,NULL,103.75,65,140,1,/products-images/o/r/org.sweetpotato.jpg,1,0,0,0,org-sweet-potato.html,0,0
141,101,Org. Thalana battu 250g,Org. Thalana battu 250g,Org. Thalana battu 250g,Org. Thalana battu,NULL,NULL,94,73,141,1,/products-images/o/r/org.thalanabattu.jpg,1,0,0,0,org-thalana-battu.html,0,0
